Epoch,TotalEnvInteracts, AverageEvalReward,     StdEvalReward,     MinEvalReward,     MaxEvalReward,EvalEpLen,             LossPi,            LossQ1,            LossQ2,           Entropy,         AlphaCoeff,              Time
   14,            70000, 476.1462718661084, 50.08530733802468, 387.7576614806274, 539.9314209127735,     89.0,-214.30499267578125,44.600669860839844, 43.43724822998047, 17.83231544494629,0.20000001788139343, 10.55185733238856
   15,            75000, 443.0392572702038, 37.62341577035813,385.23889896915006, 527.3516951710718,     81.7,-216.97686767578125, 45.34335708618164,44.248435974121094, 17.88437271118164,0.20000001788139343,11.299379122257232
   16,            80000, 605.0217844487026,111.64107196393255, 480.4350661719578, 846.6076930478416,    118.7, -219.7406463623047, 46.64159393310547, 45.40889358520508, 17.94808578491211,0.20000001788139343,12.042710634072622
   17,            85000, 753.5585008754535,263.84243156253535,421.34985466456874,1301.5054120622226,    143.2,-222.37100219726562, 48.17397689819336, 46.61113739013672,17.949419021606445,0.20000001788139343,  12.8000572959582
   18,            90000, 524.0581715701636,105.29700156205882, 438.1399207969318,   742.15701079723,     96.4,-225.28085327148438, 48.90024185180664, 47.52539825439453,17.911102294921875,0.20000001788139343, 13.55439426501592
   19,            95000, 570.1020702655977,121.53028939750808,451.53456282789756,  869.668135333108,    108.3,-227.55044555664062, 50.03427505493164, 48.65093231201172,17.970699310302734,0.20000001788139343,14.306823988755545
   20,           100000, 530.6847963780233, 65.09680631269119,443.85811395711056,  639.695031711153,    100.5,-230.43170166015625,51.467864990234375, 49.97987365722656,18.018962860107422,0.20000001788139343,15.050115891297658
   21,           105000, 506.0350197694199, 76.83427482617884,399.40222968683383, 644.8978702118495,    100.0, -232.8731689453125, 52.95623016357422,51.216697692871094, 18.04197120666504,0.20000001788139343,15.798065821329752
   22,           110000, 427.8730320249835, 24.23110594965813,401.85190916589556,492.78228798972856,     79.0,-235.56097412109375, 54.71260452270508,  53.3224983215332, 17.99521255493164,0.20000001788139343, 16.54185431400935
   23,           115000, 453.0530172160294, 54.68046775438537, 362.4586209784122, 551.1885086278241,     84.1,-237.74615478515625,56.343788146972656, 54.48963165283203, 17.97017478942871,0.20000001788139343,17.293138845761618
   24,           120000, 550.6006093431158,120.97841195367657, 404.8793919126148, 828.5950411789379,    106.9,-239.78536987304688, 56.27289962768555, 54.77655029296875,  17.9685001373291,0.20000001788139343,18.038141457239785
   25,           125000,  726.117519935761,217.93040339942937, 395.4693030959458,1104.6472926293254,    144.3,-241.09019470214844, 57.22377395629883, 55.45990753173828,18.019725799560547,0.20000001788139343,18.791191915671032
   26,           130000, 640.2043982066332,200.89557635421292,455.88788395478315,1057.4608352250448,    121.3,  -242.491943359375, 57.02280044555664, 55.80352020263672,18.040597915649414,0.20000001788139343,19.545421425501505
   27,           135000, 563.8678893033822, 37.21147871426116,485.22617805240753,  626.798684830079,    104.2,-244.59425354003906, 58.64133071899414,57.075714111328125,18.050945281982422,0.20000001788139343,20.293909855683644
